Beer,Brewery,Rating
Palabre Grand Cru 5,À l’abri de la Tempête,2.14
Devils Spear,18th Street Brewery,4.00
6 String Saison,South Austin Brewing Co.,3.45
Imperial Biscotti Break - DeCicco Version With Chili And Hazelnuts,Evil Twin Brewing,4.49
Mönchsambacher Lager,Brauerei Zehendner GmbH,4.02
A-Side,Rhinegeist Brewery,4.00
Forces Unseen,The Rare Barrel,4.45
Innis & Gunn Irish Whiskey Aged Stout,Innis & Gunn,3.89
George,Mikkeller ApS,3.57
Shakespeare Oatmeal Stout,Rogue Ales,4.09
Harpoon Leviathan - Imperial IPA,Harpoon Brewery & Beer Hall,4.16
Blackbeerd Imperial Stout,COAST Brewing Company,4.48
Ranger,New Belgium Brewing,3.73
Opal - Proprietor's Reserve,Firestone Walker Brewing Co.,3.97
Belle Vue Kriek,Brasserie Belle-Vue,3.58
Bo & Luke,Against The Grain Brewery & Smokehouse,4.17
Fire Rock Pale Ale,Kona Brewing Co.,4.14
Judas Porter,Oskar Blues Grill & Brew,4.00
Lips Of Faith - Pear Ginger Beer,New Belgium Brewing,2.48
Optimal Wit,Port City Brewing,3.79
Mélange No. 12,The Bruery,4.37
"Fistful Of Hops ""Green"" (Spring 2015)",Sun King Brewing Company,3.90
Dark Truth Stout,Boulevard Brewing Co.,3.33
Samuel Adams Triple Bock,Boston Beer Company (Samuel Adams),4.80
Orangutan Skies ,Aeronaut Brewing Company,4.10
Riot Rye,Monocacy Brewing Co.,4.05
Hacker-Pschorr Hefe Weisse Naturtrüb,Hacker-Pschorr Bräu GmbH,4.13
Lugene Chocolate Milk Stout,Odell Brewing Company,4.02
White Hatter,New Holland Brewing Company,3.59
Calypso,Perth Brewing Co.,2.82
New Holland Black Hatter,New Holland Brewing Company,3.82
Fisticuffs,Westbrook Brewing Co.,3.92
Golden Leaf,"City Brewing Company, LLC",3.13
Funk'd Blanc,Night Shift Brewing,4.32
Vanishing Point Pale,Ghostfish Brewing Co.,3.02
Key West Sunset Ale,Florida Beer Company,3.35
Irish Style Stout,Sprecher Brewing Company,3.53
Smokey And The Bois,The Bruery,3.99
Hard Apple Pie,Sprecher Brewing Company,3.98
Row 2/Hill 56,Russian River Brewing Company,4.50
Lost & Found Abbey Ale,The Lost Abbey,3.89
Heart's Delight,Santa Clara Valley Brewing,3.69
River Horse Oatmeal Milk Stout,River Horse Brewing Co.,4.09
Canoe The Zumbro,Kinney Creek Brewery,4.19
Black Bavarian,Sprecher Brewing Company,4.10
Hercules Double IPA,Great Divide Brewing Company,4.44
Brewer's Art Resurrection,The Brewer's Art,4.10
Brooklyn Black Chocolate Stout,Brooklyn Brewery,4.44
Rowdy,Atlas Brew Works,3.42
Hues ,Mikkeller ApS,4.25
Immelmann Bourbon Barrel Aged Porter (Barrel Roll Series),Hangar 24 Brewery,4.25
Trukker Pils,Devils Backbone Brewing Company,3.40
No Limits Hefeweizen,Two Roads Brewing Company,3.42
Peach Hefeweizen,Stevens Point Brewery,2.99
The Truth Imperial IPA,Flying Dog Brewery,4.29
The Sultan,8 Wired Brewing Co.,3.48
Palax,Cervecera Artesana Fundada En 2012,3.00
Duke Of Wellington India Pale Ale,Granite City Food & Brewery,3.33
Alaskan Freeride APA,Alaskan Brewing Co.,3.12
Frauendorfer Naturtrueb,"Brauerei ""Zum Pfau"" Anton Hetzel",3.68
Hemlock Stout,Belgian Mare Brewery,2.05
Spiced Saison,Brewery Ommegang,4.00
Blood & Guts,Free Will Brewing Co.,3.33
Excelsior Anniversary Series - 17,Ithaca Beer Company,3.77
Gen IV Session IPA,Matt Brewing Company / Saranac Brewery,3.91
Crasher In The Rye,Clown Shoes,4.20
Big Gruesome Peanut Butter Chocolate Stout,Spring House Brewing Company,4.00
Natura Morta W/ Strawberry,Green Flash Brewing Co.,4.42
Founders Rübæus,Founders Brewing Company,4.14
Box Set Track #10 - Bat Out Of Hell,The Lost Abbey,4.61
606 India Pale Ale,Paddock Wood Brewing Co.,3.23
Session Nut Brown,Hall Brewing Co.,3.21
Aphrodisiaque,Brasserie Dieu Du Ciel,3.43
Pioneer Po-Cha-Na-Quar-Hip Braggot,The Lone Pint Brewery,4.18
Xingu Black Beer,Cervejaria Kaiser,3.73
Labatt Blue,Labatt Brewing Company Ltd.,3.04
Of Foam And Fury,Galway Bay Brewery,4.04
Wobble,Two Brothers Brewing Company,3.90
Petite Sour Raspberry,Crooked Stave Brewery & Taproom,4.25
West Coast IPA,Bad Tattoo Brewing,3.70
Kölsch German-Style Ale,Sierra Nevada Brewing Co.,4.65
Outblack,De Struise Brouwers,4.09
Ken Schmidt Chocolate Mint Stout,Iron Fist Brewing Company,4.16
Two Lucys Blackberry Wheat,Thr3e Wise Men,3.63
Bohemia,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",3.63
Lexicon Devil Grapefruit Pale Ale,Spring House Brewing Company,3.96
Birra Moretti,Birra Moretti (Heineken),2.50
Contemporary Works - Stereo,Stillwater Artisanal Ales,3.83
Golden Zoe IPA,Thr3e Wise Men,3.60
"The First Nail (2014) With Cinnamon, Licorice And Smoked Barley",Fremont Brewing Company,4.28
Duvel,Brouwerij Duvel Moortgat NV,4.42
OK-Sí,Prairie Artisan Ales,3.77
Hop Odyssey: Symposium IPA,Green Flash Brewing Co.,4.11
Barrel Aged People's Porter,Foothills Brewing Company,3.68
Jack D'or,Pretty Things Beer & Ale Project,3.78
Alpha King,3 Floyds Brewing Co.,5.00
Dark Apparition Vanilla & Coffee Bean,Jackie O's Pub & Brewery,4.51
Bavaria 0.0 Lemon,Bavaria Brouwerij N.V.,1.68
Mazarin,Omnipollo,3.71
Flash Bang,Excel Brewing Company,3.24
Brooklyn Local 2,Brooklyn Brewery,4.14
Night Swim'Ah,Revival Brewing Co.,4.02
Blue Peter,Lake Louie Brewery Company,3.96
Fat Head's Head Hunter IPA,Fat Head's Brewery & Saloon,4.14
Ommegang (Abbey Ale),Brewery Ommegang,4.75
Cucumber Cream Ale,Twisted Pine Brewing Company,3.46
Apophatic,Monkish Brewing Co.,4.35
Abita/Birrificio Del Ducato - Two Boots Saison,Abita Brewing Co.,3.83
Fatamorgana,Omnipollo,4.54
Stumptown Tart (2015),BridgePort Brewing Co. / Brewpub,3.32
32°/50°,COAST Brewing Company,4.00
Czech Mate,NoDa Brewing Company,3.43
Saint Arnold Ale Wagger,Saint Arnold Brewing Company,3.75
Omen Belgian-Style Raspberry Stout (2015),Elysian Brewing Company,3.35
Crooked Stave Surette Reserva,Crooked Stave Brewery & Taproom,4.21
Otter Creek Brewing / Lawson's Double Dose IPA,Otter Creek Brewing / Wolaver's,4.35
Ghost Hop White IPA,NoDa Brewing Company,3.64
31 Rubies English Barleywine,The Hourglass Brewery,4.25
Down To Earth Session IPA,21st Amendment Brewery,3.39
AmEn! Barleywine - Barrel Aged,Cahoots Brewing,4.00
Couch Funding Cherry Stout,Spiteful Brewing,4.25
NoDajito,NoDa Brewing Company,3.49
Anchor IPA,Anchor Brewing Company,3.12
Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,4.27
Hop Lab - Yellow,Bank Brewing Co.,4.15
Bockquinox,Lenny Boy Brewing Co.,3.94
Nashweizen IPA,Tennessee Brew Works,3.32
Coco Loco,NoDa Brewing Company,4.04
Storm King Stout,Victory Brewing Company,3.69
Crossroads,South Austin Brewing Co.,3.19
Lindemans Faro Lambic,Brouwerij Lindemans,3.59
Embers,Sante Adairius Rustic Ales,3.90
La Buteuse,Le Trou Du Diable,4.79
Mogli,Caldera Brewing Company,4.28
Gargoyle Love Song,Clown Shoes,4.06
Oblivion Sour Red,Wicked Weed Brewing,4.30
Golden 8,Crabtree Brewing Company,3.34
Berliner Weisse,Crabtree Brewing Company,3.60
Citra Legacy,Medusa Brewing Company,3.96
Fantôme Saison D'Erezée - Printemps,Brasserie Fantôme,3.68
Blue Moon Cinnamon Horchata Ale,Coors Brewing Company,3.17
Oil Of Aphrodite - Rum Barrel Aged,Jackie O's Pub & Brewery,4.50
Rare Vos (Amber Ale),Brewery Ommegang,3.71
Double BBA 6 Pairs Of Legs Maple Porter,Dark Horse Brewing Company,4.63
Stone Free Apricot Wheat,Broken Plow Brewery,3.27
Stillwater / Omnipollo Remix Project Babylonian Style Ale,Stillwater Artisanal Ales,3.69
Big American Stout,The Civil Life Brewing Company,3.99
Blue Moon Honey Moon Summer Ale,Coors Brewing Company,3.44
Dos Equis Amber Lager,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",2.74
Girardin Kriek 1882,Brouwerij Girardin,3.74
8,Selkirk Abbey Brewing Company,4.04
Visionary Brew (2015),Rahr & Sons Brewing Company,3.85
The Impossible Way,Peg's Cantina & Brew Pub,4.10
Heavy Seas - Bourbon Barrel Aged Siren Noire Imperial Chocolate Stout,Heavy Seas Beer,4.00
Golden Helmet,Peg's Cantina & Brew Pub,3.94
Blue Moon Short Straw Farmhouse Red Ale,Coors Brewing Company,3.48
Freewheel Pale,Peg's Cantina & Brew Pub,4.00
Founders Harvest Ale,Founders Brewing Company,4.24
Unicycle Motueka,Peg's Cantina & Brew Pub,4.00
Norm's Raggedy Ass IPA,Griffin Claw Brewing Company,3.69
Or Xata,The Bruery,4.30
Ayinger Altbairisch Dunkel,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,4.58
Anti-Hero IPA,Revolution Brewing Company,4.01
Odell Easy Street Wheat,Odell Brewing Company,4.19
Unicycle: Mandarina,Peg's Cantina & Brew Pub,4.00
Hairy Eyeball Ale,Lagunitas Brewing Company,4.41
Bourbon Barrel Aged Bernese Barleywine Ale,Thirsty Dog Brewing Company,4.29
Nickel Brook Headstock IPA,Better Bitters Brewing Co.,3.85
Columbus Bodhi DIPA,Columbus Brewing Company,4.31
Galactic Supercluster,Peg's Cantina & Brew Pub,4.17
Blue Paddle Pilsner,New Belgium Brewing,3.54
Bean-To Coffee Stout,Lake Placid Craft Brewing Company,3.88
Biere De Miel,Jester King Brewery,4.24
Wishbone Session Double IPA,Shmaltz Brewing Company,3.54
Dark Seas,Mission Brewery,4.06
Third Anniversary -One Thousand Ninety-Five,Kane Brewing Company,4.45
Franziskaner Hefe-Weisse,Spaten-Franziskaner-Bräu,5.00
Premium Session Bold Ale,Vindication Brewing Co.,3.07
Twin Sisters Double IPA,Left Hand Brewing Company,3.50
HopAnomaly - Reserve Series Aged In French Oak Chardonnay Barrels,Nebraska Brewing Company,4.35
Petit Azacca,de Garde Brewing,4.55
Hop Therapy ISA,Russell Brewing Company,3.57
Rye'd The Pig,Prohibition Pig,4.00
Twisted Pine Raspberry Wheat Ale,Twisted Pine Brewing Company,2.72
Billy's Chilies Beer (Timberline Series),Twisted Pine Brewing Company,2.71
Barrel-Aged Framinghammer,Jack's Abby Brewing,4.50
Twisted Pine Hoppy Boy IPA,Twisted Pine Brewing Company,3.54
Snörkel,Jester King Brewery,3.94
Prohibition Pig Bantam Double IPA,Prohibition Pig,4.18
Snozberry Stout,Great South Bay Brewery,3.87
Smuttynose Robust Porter,Smuttynose Brewing Company,4.29
Lindemans Gueuze Cuvée René,Brouwerij Lindemans,3.62
De Ranke Guldenberg,Brouwerij De Ranke,4.22
Timmermans Strawberry,Brouwerij Timmermans-John Martin N.V.,3.10
Krankshaft Kölsch,Metropolitan Brewing,3.93
Sturm Truppen,3 Floyds Brewing Co.,4.40
Deviant Dale's IPA,Oskar Blues Grill & Brew,3.79
Blackcap Raspberry,Cascade Brewing / Raccoon Lodge & Brewpub,4.25
Hofmann,Enlightenment Ales,4.23
Cascade Cranberry,Cascade Brewing / Raccoon Lodge & Brewpub,4.19
Inversion IPA,Deschutes Brewery,4.20
Smuttynose Spank,Smuttynose Brewing Company,4.15
Red Betty Imperial IPA,Central City Brewing,4.15
Jubel 2015,Deschutes Brewery,4.10
Watershed Wheat,Toppling Goliath Brewing Company,3.75
Green Killer IPA,Brasserie de Silly S.A.,3.25
Imperial Or Xata,The Bruery,4.00
Maple Tap Imperial Maple Porter,Harpoon Brewery & Beer Hall,3.54
Singletrack Copper Ale,Boulder Beer / Wilderness Pub,3.21
Luminous Calcidity,Tired Hands Brewing Company,3.74
Dreadnaught IPA,3 Floyds Brewing Co.,4.31
Howlin' Hefeweizen,Wolf Creek Brewing,4.70
Buffalo Gold Golden Ale,Boulder Beer / Wilderness Pub,2.99
Proprietor's Bourbon County Brand Stout (2013),Goose Island Beer Co.,4.89
HandFarm,Tired Hands Brewing Company,4.28
Galactic Double Daisy Cutter,Half Acre Beer Company,4.35
Avoiding Purgatory #1,Tired Hands Brewing Company,3.75
Transmigration Of Souls,Orpheus Brewing,4.34
Evil Twin Hipster,Evil Twin Brewing,3.58
Lost Coast Brew Labs! Double IPA,Lost Coast Brewery and Cafe,4.12
312 Urban Pale Ale,Goose Island Beer Co.,2.73
Lervig Lucky Jack,Lervig Aktiebryggeri AS,3.12
The Didjits Blood Orange IPA,Burnt Hickory Brewery,4.47
A Deal With The Devil,Anchorage Brewing Company,4.25
Peeper Ale,Maine Beer Company,3.58
MO,Maine Beer Company,3.80
Sweetwater 420 Extra Pale Ale,SweetWater Brewing Company,3.59
Plattelander,Proclamation Ale Company,4.35
Killer Queen,Pipeworks Brewing Company,3.34
Continuum IPA,Saugatuck Brewing Company,3.54
Smuttynose Homunculus (Big Beer Series),Smuttynose Brewing Company,4.16
Cone Crusher IPA,18th Street Brewery,4.14
20th Anniversary Belgian-Style Ale,Great Divide Brewing Company,3.75
668 Neighbor Of The Beast,New England Brewing Co.,4.02
Mountain Meadow,Bootlegger's Brewery,3.50
Lynnbrook Raspberry Berliner Weisse,DESTIHL Brewery,3.93
22nd Crooked Line Birthday Suit: Sour Plum Abbey Ale,Uinta Brewing Company,3.65
The Chosen One,Tilted Barn Brewery,4.29
Wakerobin,Trillium Brewing Company,3.56
Cimmerian Sabertooth Berzerker,3 Floyds Brewing Co.,4.25
Sierra Nevada Audition Double IPA,Sierra Nevada Brewing Co.,4.25
Stand Out,Long Trail Brewing Co.,3.10
Swagger,Clown Shoes,4.04
Summer IPA,Reuben's Brews,3.75
Mosaic Hose,de Garde Brewing,4.50
Hatchblower Pepper IPA,Triton Brewing Company,3.77
The Raffi,Tilted Barn Brewery,3.97
Brother Thelonious,North Coast Brewing Co.,4.00
Genesee Brew House Imperial Black IPA,Genesee Brewing Co. / Dundee Brewing Co.,3.50
Kristin's Temper,Old Ox Brewery,3.83
Busch Beer,Anheuser-Busch,3.00
Back To The Future IPA,Breakside Brewery,4.50
Double Barrel Ale,Firestone Walker Brewing Co.,4.00
Brown & Stirred,Pipeworks Brewing Company,3.95
The Duo,de Garde Brewing,4.75
Galactic Heroes IPA,Homestead Beer Co.,3.49
Red Cockaded Ale,Southern Star Brewing Company,3.22
Ultra High Frequency,Solemn Oath Brewery,4.10
Bacon Brown,Justice Brewing,3.37
CitruSenensis,Lagunitas Brewing Company,4.21
Freckle,The Bruery,4.10
Casco Bay Riptide Red Ale,Casco Bay Brewing Co.,3.94
Allagash Confluence Ale,Allagash Brewing Company,4.25
Pineapple Bling,Pipeworks Brewing Company,3.66
OneHitter Series: CitruSinensis,Lagunitas Brewing Company,4.20
Bourbon Abominable Winter Ale,Fremont Brewing Company,4.23
Atwater Traverse City Cherry Wheat,Atwater Brewery,3.50
Blanche De Chambly,Unibroue,4.15
Firestone 15 - Anniversary Ale,Firestone Walker Brewing Co.,4.34
Barrel Aged Series: Russian Imperial Stout,Parallel 49 Brewing Company,3.80
Homefront IPA,Fremont Brewing Company,4.04
Dark Lord Imperial Stout,3 Floyds Brewing Co.,4.44
Smuttlabs Baja Hoodie,Smuttynose Brewing Company,3.60
Lighthouse Ale,Fire Island Beer Company,3.43
Autumn Maple,The Bruery,3.82
Avant Garde,The Lost Abbey,3.56
Cosmik Debris,Creature Comforts,4.69
The Substance,Bissell Brothers Brewing Co.,4.39
Summer Solstice,Anderson Valley Brewing Company,4.00
Strawberry Best,O'Fallon Brewery,3.20
Devotion Ale,The Lost Abbey,3.79
Thumbprint Enigma,New Glarus Brewing Company,3.88
Sweet Baby Jesus,DuClaw Brewing Company,4.39
Progenitor NOIR,Crooked Stave Brewery & Taproom,4.00
Double Half Hitch,Crooked Letter Brewing Co.,3.08
Lawn Seat Kolsch,Great Lakes Brewing Co.,4.28
Citra-Pils,Switchback Brewing Company,3.89
Big Twitch IPA,Marshall Wharf Brewing Company / Three Tides Restaurant,3.36
"Truth, Justice And The American Ale",Great Lakes Brewing Co.,3.23
Samuel Adams Tetravis (Barrel Room Collection),Boston Beer Company (Samuel Adams),4.44
Gruffmeister 8,Foothills Brewing Company,3.62
Sierra Nevada Ruthless Rye IPA,Sierra Nevada Brewing Co.,3.79
Bacchus,Brouwerij Van Honsebrouck N.V.,3.96
Mönchshof Bockbier,Kulmbacher Brauerei AG,3.94
Island Of Misfit Hops #1,Medusa Brewing Company,3.99
Dry Irish Stout,Karbach Brewing Co.,3.50
Panther Transformation,3 Floyds Brewing Co.,4.39
Rail Dog Smoked Black Lager,Thirsty Dog Brewing Company,4.58
2XONE (2014),Southern Tier Brewing Company,4.77
Gorillanaut Imperial IPA,Straight To Ale,4.16
Kulmbacher Reichelbrau Eisbock,Kulmbacher Brauerei AG,3.97
Ginger Peach Saison,Tallgrass Brewing Company,3.89
Ghost Ship White IPA,Capital Brewery,4.01
Mission Control,8th Wonder Brewery,3.71
Tea Party,Eagle Creek Brewing Company,3.39
Ipswich Blueberry Shandy,Ipswich Ale Brewery,3.85
Champaign Du Nord,Boston Beer Works - Canal Street,3.34
Indian Brown Ale,Dogfish Head Brewery,4.54
Misery,DuClaw Brewing Company,3.99
Peppercorn Saison,Lawson's Finest Liquids,4.50
Wild Friendship Blend (Cantillon Belgian Version),Brasserie Cantillon,4.74
Cantillon Cuvee Moeder,Brasserie Cantillon,4.66
Brewer's Reserve Bourbon Barrel Cherry Stout,Central Waters Brewing Co.,3.99
Selfies Are For Wieners,Spiteful Brewing,4.41
Lupulin Suplex Double IPA,Flying Goose Brew Pub & Grille,4.49
Leffe Blonde,Abbaye de Leffe S.A.,3.99
Big Worster,Mikkeller ApS,4.70
Dinkey Wheat,Olde Main Brewing Co. & Restaurant,3.37
Cantillon Zwanze 2014 (Cuvée Florian),Brasserie Cantillon,4.60
Weltenburger Kloster Barock Dunkel,Klosterbrauerei Weltenburg,4.02
K Is For Kriek,Brooklyn Brewery,4.10
Vanilla Oatis,Ninkasi Brewing Company,3.96
Grunion Pale Ale,Ballast Point Brewing Company,4.29
London Balling,Against The Grain Brewery & Smokehouse,4.30
Two Women Lager,New Glarus Brewing Company,4.12
Our Elaborate Plans,Ocelot Brewing Company,4.48
Matilda,Goose Island Beer Co.,4.38
Sidamo Coffee Stout,Hardywood Park Craft Brewery,4.00
Judgment Day,The Lost Abbey,3.54
Dragonmead St. Nicole's Weizenbock,Dragonmead Microbrewery,3.78
Mass Rising,Jack's Abby Brewing,4.17
Madamin,LoverBeer,4.29
Dundee Pale Ale,Genesee Brewing Co. / Dundee Brewing Co.,3.46
Bend The Knee,3 Floyds Brewing Co.,2.57
Rodenbach Caractère Rouge,Brouwerij Rodenbach N.V.,4.25
North Third St. Stout,Blackrocks Brewery,4.10
Wanderer Session India Pale Ale,North Peak Brewing Company,4.29
Arcadia Cheap Date,Arcadia Brewing Company,4.00
Notch Session Pils,Notch Brewing,3.76
Dog Stalker April Bock,Grand River Brewing,3.90
Furry Black India Pale Ale,North Peak Brewing Company,4.50
Jacobsen Saaz Blonde,Carlsberg Danmark A/S,3.09
Hop Odyssey: 30th Street Pale Ale,Green Flash Brewing Co.,3.42
Cleveland Dark Ale,Brick & Barrel Brewing,4.34
Dragon Slayer IPA,English Ales Brewery,2.81
Lindemans Pêche,Brouwerij Lindemans,4.10
American Kolsch Story,River Rat Brewery,2.93
Provisions Series: A Stein’s Throw,The Bruery,3.80
Saint Arnold Divine Reserve #13,Saint Arnold Brewing Company,4.08
Sinister Vertigo,Odd Side Ales,4.00
Imperial Orchard Bu,de Garde Brewing,4.26
Point Belgian White,Stevens Point Brewery,3.68
Dayman Hopfeweizen,Upstream Brewing Company - Old Market,4.29
Simcoe Sensation,Odd Side Ales,3.75
Shiner Prickly Pear,Spoetzl Brewery / Shiner,2.89
Opal,Firestone Walker Brewing Co.,3.96
Coconut Almond Brown,Hideout Brewing Company,3.58
River Horse Lager,River Horse Brewing Co.,3.52
Java Chip Mint Stout,Odd Side Ales,4.00
UFO Raspberry Hefeweizen,Harpoon Brewery & Beer Hall,4.00
10 Commandments,The Lost Abbey,3.77
Chillindamos,Odd Side Ales,3.75
Siren / Stillwater When The Light Gose Out,Siren Craft Brew,3.90
Sinebrychoff Porter,Oy Sinebrychoff Ab,4.17
Ain't No Sunshine When Saison,Odd Side Ales,3.50
Get Up Offa That Brown,Golden Road Brewing,3.88
Crazy Train Black IPA,Mountain Town Brewing Co.,3.58
Coronado Golden Pilsner,Coronado Brewing Company,3.40
Wheatermelon,Odd Side Ales,3.50
Seersucker Summer Pilsner,Abita Brewing Co.,2.98
Bitter Chief IPA,Brick & Barrel Brewing,4.04
Citra DIPA,Rohrbach Brewing Company (Brewpub),4.01
Odell IPA,Odell Brewing Company,4.21
Brasserie De Blaugies / Hill Farmstead La Vermontoise,Brasserie de Blaugies,4.09
Session IPA (single Hop Mosaic),Great Lakes Brewing Co.,4.18
Dundee Porter,Genesee Brewing Co. / Dundee Brewing Co.,3.74
Longshot Smokehouse Rauchbier,Boston Beer Company (Samuel Adams),3.49
The Hop Collective (THC): Mosaic,Black Hog Brewing Co.,5.00
Batch #2 Barleywine,Breckenridge Brewery,4.30
Funk (Blueberry Citrus),DuClaw Brewing Company,3.09
Victory Helles Lager,Victory Brewing Company,3.68
Morph 5/5/15,Night Shift Brewing,4.00
Rye Guy Porter,Boston Beer Works - Canal Street,3.44
My Worried Mind,Ocelot Brewing Company,3.66
Yet To Be Named,Confluence Brewing Company,3.88
Manaphin,Green Bench Brewing Co.,4.82
Spontancassis,Mikkeller ApS,4.38
Captain's Daughter,Grey Sail Brewing of Rhode Island,4.30
Dubbel,Une Année,4.42
Avenues Annual #1,avenues Proper,4.16
Big Chuck Barleywine,Portside Distillery & Brewery,3.74
Lager Ness Monster,Jack's Abby Brewing,4.50
Bride Maker,Jack's Abby Brewing,4.75
29 Pews,Veracious Brewing Company,4.41
Carnevale,The Lost Abbey,3.75
Winter Grind,Mother's Brewing Company,4.23
Oude Mûre Tilquin à L'ancienne,Gueuzerie Tilquin,4.75
Heavy Seas Cabernet Barrel Aged Below Decks,Heavy Seas Beer,3.40
Urbock 23°,Brauerei Schloss Eggenberg,3.75
Sláinte Stout,avenues Proper,3.98
Imperial Nectarine Bu,de Garde Brewing,4.75
Might As Well IPL,Golden Road Brewing,3.70
Old Guard,Service Brewing Company,4.08
Grisette,Side Project Brewing,4.25
Brooklyn Monster Ale,Brooklyn Brewery,3.84
McChouffe,Brasserie d'Achouffe,3.93
Zoetic Citra,Yellow Springs Brewery,4.16
Saison D'Lux,Thirsty Dog Brewing Company,3.73
Holidale,Berkshire Brewing Company Inc.,3.69
Ridge Runner,Rock Art Brewery,3.65
Icarus,Goose Island Beer Co.,3.67
Hopspital IPA,avenues Proper,3.73
Dinosmores,Off Color Brewing,4.19
Gose The Gozerian,avenues Proper,3.95
Tricerahops Double IPA,Ninkasi Brewing Company,4.21
Hunter Coffee,18th Street Brewery,4.48
Chicken Killer Barley Wine,Santa Fe Brewing Company,3.58
Raspberry Red Rye,Buxton Brewery,3.87
Rogue Farms Dirtoir Black Lager,Rogue Ales,3.54
People's Pale Ale,Intuition Ale Works,3.36
Inception Series - Runnin' With The Devil,Nebraska Brewing Company,4.15
Iron Thistle,Rahr & Sons Brewing Company,4.00
Hangar 24 Orange Wheat,Hangar 24 Brewery,3.50
Berliner Weiss,Thirsty Dog Brewing Company,4.26
Sierra Nevada Summerfest Lager,Sierra Nevada Brewing Co.,3.74
Outback X,Bend Brewing Company,3.37
Incubus,Sly Fox Brewing Company,3.97
Farmer's Table,Kent Falls Brewing Company,3.95
Ghost River Golden Ale,Ghost River Brewing,4.03
Anniversary Strong Ale,New Glarus Brewing Company,4.00
Billy The Mountain,Upright Brewing Company,4.49
Cabin Fever Imperial Black Ale,Phillips Brewing Company,4.27
Simple Malt Scotch Ale Réserve Wee Heavy Écossaise,Brasseurs Illimités,3.64
Saison Du Fermier,Side Project Brewing,4.75
Focal Banger,The Alchemist,4.50
10th Anniversary Barleywine (2014),Amnesia Brewing,4.24
Palate Shifter Imperial IPA,Captain Lawrence Brewing Co.,4.00
White Out,Burnside Brewing Co.,4.30
Another VT IPA,Frost Beer Works,3.94
Paradise Porter,Diamond Bear Brewing Company,3.78
Chai-Spiced Imperial Russian Stout,Stone Brewing Co.,3.83
Lindley Park,Olde Hickory Brewery,4.25
Cigar City Brewing / Hardywood Park Milk Maid White Stout,Cigar City Brewing,3.50
Hottenroth Berliner Weisse,The Bruery,4.04
Hardywood Park / Cigar City Brewing Milkman,Hardywood Park Craft Brewery,3.50
Boy King Double IPA,COAST Brewing Company,4.00
De Dolle Arabier,Brouwerij De Dolle Brouwers,4.40
Old #38 Stout,North Coast Brewing Co.,4.21
Hoppy Brown,Boston Beer Works - Canal Street,3.80
Maine Island Trail Ale,Rising Tide Brewing Company,4.50
Demento Session Pale,Ale Asylum,3.58
Lamoille Bretta,Lost Nation Brewing,4.11
Old Skook,Three Magnets Brewing,4.37
Russian Mail Order Bride Apple Brandy Barrel-Aged,Green Bench Brewing Co.,4.86
NightTime,Lagunitas Brewing Company,3.76
Belgian Strawberry,Trinity Brewhouse,5.00
Young's Oatmeal Stout,Wells & Young's Ltd,4.04
Marzen,Sudwerk Brewing Company,3.77
Red Poppy Ale,The Lost Abbey,4.26
Witkap Pater Dubbel,Brouwerij Slaghmuylder,3.50
ScareCity #2 Rye Cocoa Porter,Lagunitas Brewing Company,4.35
State Pen Porter,Santa Fe Brewing Company,4.01
Boddingtons Pub Ale,Boddingtons,2.90
Annularity,FiftyFifty Brewing Co.,4.29
Saint Archer Double IPA,Saint Archer Brewing Co.,4.35
Great Lakes Burning River Pale Ale,Great Lakes Brewing Co.,3.75
Neshaminator,Neshaminy Creek Brewing Company,3.94
Beer Line,"Lakefront Brewery, Inc.",2.70
Schlafly Reserve - Barleywine Style Ale,The Schlafly Tap Room,4.56
Golden Spike Hefeweizen,Uinta Brewing Company,3.41
Pliny The Younger,Russian River Brewing Company,4.83
Saison Dupont,Brasserie Dupont sprl,3.65
Adam From The Wood - Rye Whiskey,Hair of the Dog Brewing Company / Brewery and Tasting Room,4.40
Alluvial,Alluvial Brewing Company,4.08
Wells Banana Bread Beer,Wells & Young's Ltd,3.08
Procrastinator Ice Bock #2,BFM (Brasserie des Franches-Montagnes),4.06
Michelob AmberBock,Anheuser-Busch,1.99
Blithering Idiot,Weyerbacher Brewing Co.,4.02
Old Jive Turkey,Voodoo Brewing Company,4.00
I-Lucky,Bissell Brothers Brewing Co.,4.24
Berkshire Oktoberfest Lager,Berkshire Brewing Company Inc.,4.04
Raver's Extra Ripe Old Ale,Westbrook Brewing Co.,1.00
Calliope,Barley Mow Brewing Company,4.69
Marzcal Kolsch,Marz Community Brewing,2.80
Convict,Beerd Beers,4.04
Release The Hounds,Bull & Bush Brewery,3.69
Dr Strangelove,Strange Craft Beer Company,3.52
Searbh Rua Imperial Sour,The White Hag Irish Brewing Company,4.21
Wild Hermit,Green Bench Brewing Co.,3.62
Liquid Gold,Captain Lawrence Brewing Co.,4.07
Bolita Double Nut Brown Ale,Cigar City Brewing,3.86
Skull Splitter,Orkney Brewery,3.03
Anodyne,Revolver Brewing,3.75
Les Grisettes,Green Bench Brewing Co.,3.20
Tröegs Sunshine Pils,Tröegs Brewing Company,3.87
