Beer name,Brewery,Rating
Dundee Original Honey Brown Lager,Genesee Brewing Co. / Dundee Brewing Co.,3.25
Golden Monkey,Victory Brewing Company,4.98
Wild Sour Series: Flanders Red,DESTIHL Brewery,3.85
Breakfast Stout,Backcountry Brewery,4.06
Beanhead Coffee Porter,Rushing Duck Brewing Company,4.5
Space Dust IPA,Elysian Brewing Company,4.5
Pipeworks / 4 Hands Square Grouper,Pipeworks Brewing Company,4.3
R&D Wild Bitter,New Glarus Brewing Company,3.95
Genesee Brew House Scotch Ale,Genesee Brewing Co. / Dundee Brewing Co.,3.25
Vallejo,Half Acre Beer Company,4.21
Moon Man,New Glarus Brewing Company,4.64
Lindemans Cassis,Brouwerij Lindemans,4.12
Mississippi Mud Black & Tan,Mississippi Brewing Co.,3.93
Sharpshooter Session Wheat IPA,Great Lakes Brewing Co.,3.77
Beer Camp: Hoppy Lager (2015),Sierra Nevada Brewing Co.,3.42
Peachin' Camaro,Toolbox Brewing Company,3.63
Bourbon Barrel Aged Wee Heavy Ale,Blue Pants Brewery,4.45
The Money,Pipeworks Brewing Company,4.1
Wakatu Showers,Noble Ale Works,3.98
R&D Wild Bitter,New Glarus Brewing Company,4.14
Negra Modelo,Grupo Modelo S.A. de C.V.,3.42
Burro De Sancho Rubia,Daviyun (Cerveza SAGRA),3.56
Valentins Weißbier,Park & Bellheimer AG,3
Regular Coffee,Carton Brewing Company,4.54
Maisel's Weisse Dunkel,Brauerei Gebrüder Maisel GmbH & Co.,3.05
Saison Ridge,Breckenridge Brewery,3
Maisel's Weisse Original,Brauerei Gebrüder Maisel GmbH & Co.,3.5
C-DOS Cuvée Delphine On Steroids Aka Pablo Eiscobar,De Struise Brouwers,4.99
Cuvée Alex Le Rouge (Jurassian Imperial Stout),BFM (Brasserie des Franches-Montagnes),4.24
Geriatric Hipster Club,The Bruery,3.54
R&D Vintage 2014,New Glarus Brewing Company,4.99
St. Louis Gueuze Fond Tradition,Brouwerij Van Honsebrouck N.V.,3.92
Prairie Okie,Prairie Artisan Ales,4.68
Aecht Schlenkerla Rauchbier Märzen,Brauerei Heller-Trum / Schlenkerla,3.8
Imperialist,De Struise Brouwers,3.92
Aecht Schlenkerla Rauchbier Weizen,Brauerei Heller-Trum / Schlenkerla,4.05
PsycHOPathy IPA,MadTree Brewing,3
Barrel Aged Farmhouse Pale Ale,Oxbow Brewing Company,4.5
Schneider Aventinus Weizen-Eisbock,Weisses Bräuhaus G. Schneider & Sohn GmbH,4.04
Festivale,Beau's All Natural Brewing Company,4
Boulevard / Sierra Nevada Terra Incognita,Boulevard Brewing Co.,3.65
Twerp,Rhinegeist Brewery,3
Sriracha Hot Stout,Rogue Ales,3.59
Milk & Honey,Dirck The Norseman / Greenpoint Beer & Ale Co.,3.83
Founders All Day IPA,Founders Brewing Company,3.89
Bourbon Barrel Aged Dark Star: Coffee Edition,Fremont Brewing Company,4.21
Schlitz Gusto (Classic 1960's Formula),JOS. Schlitz Brewing Co. (Pabst),3.17
Hop Devil Ale,Victory Brewing Company,4.1
Truth,Rhinegeist Brewery,3
All Green Everything,Other Half Brewing Co.,4.67
Kuhnhenn Raspberry Eisbock,Kuhnhenn Brewing Company,4.62
Allagash White,Allagash Brewing Company,4
